group,year,deaths
Palestinian Nationalist,1977,0
Palestinian Nationalist,1978,28
Palestinian Nationalist,1979,0
Palestinian Nationalist,1980,5
Palestinian Nationalist,1981,4
Palestinian Nationalist,1982,7
Palestinian Nationalist,1983,3
Palestinian Nationalist,1984,3
Palestinian Nationalist,1985,86
Palestinian Nationalist,1986,0
Palestinian Nationalist,1987,0
Palestinian Nationalist,1988,3
Palestinian Nationalist,1989,0
Palestinian Nationalist,1990,0
Palestinian Nationalist,1991,0
Palestinian Nationalist,1992,0
Palestinian Nationalist,1993,0
Palestinian Nationalist,1994,0
Palestinian Nationalist,1995,0
Palestinian Nationalist,1996,0
Palestinian Nationalist,1997,0
Palestinian Nationalist,1998,0
Palestinian Nationalist,1999,0
Palestinian Nationalist,2000,0
Protestant/Catholic Extremist,1970,1
Protestant/Catholic Extremist,1971,4
Protestant/Catholic Extremist,1972,56
Protestant/Catholic Extremist,1973,35
Protestant/Catholic Extremist,1974,31
Protestant/Catholic Extremist,1975,47
Protestant/Catholic Extremist,1976,45
Protestant/Catholic Extremist,1977,5
Protestant/Catholic Extremist,1978,3
Protestant/Catholic Extremist,1979,10
Protestant/Catholic Extremist,1980,4
Protestant/Catholic Extremist,1981,3
Protestant/Catholic Extremist,1982,9
Protestant/Catholic Extremist,1983,10
Protestant/Catholic Extremist,1984,3
Protestant/Catholic Extremist,1985,0
Protestant/Catholic Extremist,1986,9
Protestant/Catholic Extremist,1987,3
Protestant/Catholic Extremist,1988,8
Protestant/Catholic Extremist,1989,3
Protestant/Catholic Extremist,1990,8
Protestant/Catholic Extremist,1991,26
Protestant/Catholic Extremist,1992,16
Protestant/Catholic Extremist,1993,0
Protestant/Catholic Extremist,1994,7
Protestant/Catholic Extremist,1995,1
Protestant/Catholic Extremist,1996,0
Protestant/Catholic Extremist,1997,5
Protestant/Catholic Extremist,1998,0
Protestant/Catholic Extremist,1999,0
Protestant/Catholic Extremist,2000,0
